dataset,format,model,method,temperature,num_tasks,num_samples_per_task,pass@1,pass@3,pass@5,pass@10,cover@0.1,cover@0.3,cover@0.5,cover@0.7,cover@0.1_distinct,cover@0.3_distinct,cover@0.5_distinct,cover@0.7_distinct,structural_diversity
humaneval,he_full_json,Qwen--Qwen2.5-Coder-7B-Instruct,greedy,0.0,164,10,0.8415,0.8415,0.8415,0.8415,84.15,84.15,84.15,84.15,84.15,0.0,0.0,0.0,0.0
humaneval,he_full_json,Qwen--Qwen2.5-Coder-7B-Instruct,temp_0.2,0.2,164,10,0.8366,0.8871,0.8993,0.9085,90.85,89.02,84.76,82.93,90.85,43.29,15.24,4.27,0.1595
humaneval,he_full_json,Qwen--Qwen2.5-Coder-7B-Instruct,temp_0.7,0.7,164,10,0.7921,0.9029,0.9293,0.9512,95.12,89.63,84.15,76.83,94.51,84.15,64.02,35.37,0.3862
humaneval,he_full_json,Qwen--Qwen2.5-Coder-7B-Instruct,top_p_0.95,1.0,164,10,0.8012,0.9049,0.9334,0.9573,95.73,89.63,82.32,79.27,94.51,79.88,55.49,31.1,0.4023
humaneval,he_full_json,Qwen--Qwen2.5-Coder-7B-Instruct,p_less,1.0,164,10,0.8335,0.8833,0.8934,0.9024,90.24,88.41,86.59,82.93,90.24,32.32,7.93,1.22,0.1488
humaneval,he_full_json,Qwen--Qwen2.5-Coder-7B-Instruct,p_less_norm,1.0,164,10,0.7567,0.9022,0.9346,0.9512,95.12,91.46,79.88,70.73,95.12,84.76,62.2,34.76,0.4
humaneval,he_full_json,Qwen--Qwen3-Coder-30B-A3B-Instruct,greedy,0.0,164,10,0.7561,0.7561,0.7561,0.7561,75.61,75.61,75.61,75.61,75.61,0.0,0.0,0.0,0.0
humaneval,he_full_json,Qwen--Qwen3-Coder-30B-A3B-Instruct,temp_0.2,0.2,164,10,0.7652,0.8002,0.8152,0.8354,83.54,78.66,76.83,74.39,82.93,12.8,4.27,0.61,0.045
humaneval,he_full_json,Qwen--Qwen3-Coder-30B-A3B-Instruct,temp_0.7,0.7,164,10,0.775,0.8326,0.8511,0.872,87.2,82.32,79.27,73.78,86.59,31.1,12.8,4.88,0.1156
humaneval,he_full_json,Qwen--Qwen3-Coder-30B-A3B-Instruct,top_p_0.95,1.0,164,10,0.7659,0.8,0.8145,0.8232,82.32,79.27,76.22,74.39,81.71,8.54,1.22,0.61,0.033
humaneval,he_full_json,Qwen--Qwen3-Coder-30B-A3B-Instruct,p_less,1.0,164,10,0.7604,0.7755,0.779,0.7805,78.05,77.44,76.83,74.39,78.05,2.44,0.61,0.0,0.0145
humaneval,he_full_json,Qwen--Qwen3-Coder-30B-A3B-Instruct,p_less_norm,1.0,164,10,0.7573,0.7713,0.776,0.7805,78.05,76.83,76.83,74.39,78.05,2.44,1.22,0.0,0.0132
humaneval,he_full_json,codellama--CodeLlama-7b-Instruct-hf,greedy,0.0,164,10,0.3598,0.3598,0.3598,0.3598,35.98,35.98,35.98,35.98,35.98,0.0,0.0,0.0,0.0
humaneval,he_full_json,codellama--CodeLlama-7b-Instruct-hf,temp_0.2,0.2,164,10,0.3659,0.4161,0.4369,0.4695,46.95,39.63,38.41,33.54,46.95,14.02,6.71,1.22,0.1053
humaneval,he_full_json,codellama--CodeLlama-7b-Instruct-hf,temp_0.7,0.7,164,10,0.3634,0.496,0.5566,0.6341,63.41,45.12,35.37,27.44,62.8,31.71,12.8,3.05,0.2493
humaneval,he_full_json,codellama--CodeLlama-7b-Instruct-hf,top_p_0.95,1.0,164,10,0.3579,0.4795,0.5401,0.622,62.2,42.68,34.76,28.66,62.2,18.29,6.1,0.61,0.1918
humaneval,he_full_json,codellama--CodeLlama-7b-Instruct-hf,p_less,1.0,164,10,0.3549,0.3723,0.3749,0.378,37.8,37.2,36.59,35.98,37.8,3.66,0.0,0.0,0.0635
humaneval,he_full_json,codellama--CodeLlama-7b-Instruct-hf,p_less_norm,1.0,164,10,0.3512,0.3733,0.3799,0.3841,38.41,36.59,35.98,32.93,38.41,4.27,0.0,0.0,0.0735
humaneval,he_full_json,mistralai--Codestral-22B-v0.1,greedy,0.0,164,10,0.7561,0.7561,0.7561,0.7561,75.61,75.61,75.61,75.61,75.61,0.0,0.0,0.0,0.0
humaneval,he_full_json,mistralai--Codestral-22B-v0.1,temp_0.2,0.2,164,10,0.7707,0.8313,0.8498,0.8659,86.59,82.32,78.05,75.0,86.59,47.56,18.9,4.27,0.1949
humaneval,he_full_json,mistralai--Codestral-22B-v0.1,temp_0.7,0.7,164,10,0.7299,0.8521,0.8799,0.9085,90.85,84.76,79.27,68.9,90.85,78.05,59.76,34.76,0.4018
humaneval,he_full_json,mistralai--Codestral-22B-v0.1,top_p_0.95,1.0,164,10,0.7323,0.8559,0.8868,0.9146,91.46,85.37,79.88,68.29,91.46,76.22,57.32,28.05,0.399
humaneval,he_full_json,mistralai--Codestral-22B-v0.1,p_less,1.0,164,10,0.7799,0.824,0.8382,0.8476,84.76,82.32,77.44,76.83,84.76,32.93,9.15,0.61,0.1634
humaneval,he_full_json,mistralai--Codestral-22B-v0.1,p_less_norm,1.0,164,10,0.7768,0.8229,0.8368,0.8476,84.76,82.32,79.27,75.0,84.76,35.37,7.93,1.22,0.1703
humaneval,he_full_jsonl,Qwen/Qwen2.5-Coder-7B-Instruct,pless_norm,0.6,164,10,0.875,0.8789,0.881,0.8841,88.41,87.8,87.2,87.2,88.41,1.22,0.0,0.0,0.0079
humaneval,he_full_jsonl,Qwen/Qwen2.5-Coder-7B-Instruct,pless,0.6,164,10,0.875,0.8775,0.878,0.878,87.8,87.8,87.8,87.2,87.8,0.61,0.0,0.0,0.0074
humaneval,he_full_jsonl,Qwen/Qwen2.5-Coder-7B-Instruct,top_p0.9,1.0,164,10,0.8244,0.8897,0.9075,0.9268,92.68,87.8,85.37,81.71,92.68,55.49,32.93,15.24,0.2156
humaneval,he_full_jsonl,Qwen/Qwen3-Coder-30B-A3B-Instruct,pless_norm,0.6,164,10,0.7854,0.7917,0.7951,0.7988,79.88,79.27,78.05,78.05,79.88,0.61,0.0,0.0,0.0096
