task_id,truncated_by,pless_norm_think_t1.0_t1.0_p@1,pless_norm_think_t1.0_t1.0_p@3,pless_norm_think_t1.0_t1.0_p@5,pless_norm_think_t1.0_t1.0_p@10,pless_think_t1.0_t1.0_p@1,pless_think_t1.0_t1.0_p@3,pless_think_t1.0_t1.0_p@5,pless_think_t1.0_t1.0_p@10,temp_k20_think_t1.0_t1.0_p@1,temp_k20_think_t1.0_t1.0_p@3,temp_k20_think_t1.0_t1.0_p@5,temp_k20_think_t1.0_t1.0_p@10,temp_p0.95_k20_think_t0.6_t0.6_p@1,temp_p0.95_k20_think_t0.6_t0.6_p@3,temp_p0.95_k20_think_t0.6_t0.6_p@5,temp_p0.95_k20_think_t0.6_t0.6_p@10,temp_p0.95_think_t1.0_t1.0_p@1,temp_p0.95_think_t1.0_t1.0_p@3,temp_p0.95_think_t1.0_t1.0_p@5,temp_p0.95_think_t1.0_t1.0_p@10,temp_think_t0.6_t0.6_p@1,temp_think_t0.6_t0.6_p@3,temp_think_t0.6_t0.6_p@5,temp_think_t0.6_t0.6_p@10
117,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,norm_only,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
280,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,norm_only,70.0,99.2,100.0,100.0,80.0,100.0,100.0,100.0,60.0,96.7,100.0,100.0,60.0,96.7,100.0,100.0,60.0,96.7,100.0,100.0,70.0,99.2,100.0,100.0
369,norm_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,100.0,10.0,30.0,50.0,100.0
370,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,both,30.0,70.8,91.7,100.0,30.0,70.8,91.7,100.0,30.0,70.8,91.7,100.0,20.0,53.3,77.8,100.0,60.0,96.7,100.0,100.0,40.0,83.3,97.6,100.0
454,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,pless_only,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
579,norm_only,0.0,0.0,0.0,0.0,10.0,30.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
