Model,Rank,Method,Source,pass@1 (%)
Llama-2-7B (base),1,beam4 (t=1.0),Ours,25.2
Llama-2-7B (base),2,beam8 (t=1.0),Ours,24.6
Llama-2-7B (base),3,greedy (t=1.0),Ours,23.0
Llama-2-7B (base),4,P-Less (t=0.7),Ours,23.0
Llama-2-7B (base),5,P-Less Norm (t=0.6),Ours,22.6
Llama-2-7B (base),6,P-Less (t=0.6),Ours,22.5
Llama-2-7B (base),7,P-Less Norm (t=0.7),Ours,22.5
Llama-2-7B (base),8,P-Less (t=1.0),Ours,22.4
Llama-2-7B (base),9,P-Less Norm (t=0.6),Ours,22.2
Llama-2-7B (base),10,P-Less (t=0.6),Ours,21.9
Llama-2-7B (base),11,P-Less Norm (t=1.0),Ours,21.8
Llama-2-7B (base),12,FSD-d,Paper,21.2
Llama-2-7B (base),13,Beam Search,Paper,19.4
Llama-2-7B (base),14,FSD,Paper,19.2
Llama-2-7B (base),15,Diverse Beam Search,Paper,18.4
Llama-2-7B (base),16,DoLa,Paper,18.4
Llama-2-7B (base),17,Contrastive Decoding,Paper,18.2
Llama-2-7B (base),18,Greedy,Paper,17.8
Llama-2-7B (base),19,Contrastive Search,Paper,17.4
Llama-2-7B (base),20,Temperature,Paper,17.2
Llama-2-7B (base),21,Temperature (t=0.7),Ours,17.1
Llama-2-7B (base),22,Top-p,Paper,14.8
Llama-2-7B (base),23,Top-p (ours) (t=1.0),Ours,14.0
Llama-2-7B (base),24,P-Less (t=0.6),Ours,13.8
Llama-2-7B (base),25,Typical,Paper,12.0
Llama-2-7B (base),26,Top-k,Paper,10.2
Llama-2-7B (base),27,η-Sampling,Paper,9.4
Llama-2-7B (base),28,Mirostat,Paper,7.8
Llama-2-7B (base),29,Temperature (t=0.7),Ours,4.0
Llama-2-7B-Chat,1,beam4 (t=1.0),Ours,22.4
Llama-2-7B-Chat,2,beam8 (t=1.0),Ours,22.4
Llama-2-7B-Chat,3,Beam Search,Paper,21.6
Llama-2-7B-Chat,4,Diverse Beam Search,Paper,21.2
Llama-2-7B-Chat,5,greedy (t=1.0),Ours,20.6
Llama-2-7B-Chat,6,P-Less (t=0.7),Ours,20.6
Llama-2-7B-Chat,7,P-Less Norm (t=0.7),Ours,20.5
Llama-2-7B-Chat,8,P-Less (t=0.6),Ours,20.5
Llama-2-7B-Chat,9,P-Less Norm (t=0.6),Ours,20.4
Llama-2-7B-Chat,10,P-Less Norm (t=1.0),Ours,20.2
Llama-2-7B-Chat,11,P-Less (t=1.0),Ours,20.1
Llama-2-7B-Chat,12,Temperature,Paper,20.0
Llama-2-7B-Chat,13,Top-p (ours) (t=1.0),Ours,18.0
Llama-2-7B-Chat,14,DoLa,Paper,18.0
Llama-2-7B-Chat,15,Typical,Paper,18.0
Llama-2-7B-Chat,16,FSD,Paper,17.8
Llama-2-7B-Chat,17,FSD-d,Paper,17.8
Llama-2-7B-Chat,18,Temperature (t=0.7),Ours,17.8
Llama-2-7B-Chat,19,Top-p,Paper,17.6
Llama-2-7B-Chat,20,Contrastive Search,Paper,17.4
Llama-2-7B-Chat,21,Contrastive Decoding,Paper,17.4
Llama-2-7B-Chat,22,Greedy,Paper,17.2
Llama-2-7B-Chat,23,η-Sampling,Paper,17.0
Llama-2-7B-Chat,24,Top-k,Paper,16.0
Llama-2-7B-Chat,25,Mirostat,Paper,16.0
